title,company,location,date_posted,url,tags,description
Growth Lead (CryptoKitties),Dapper Labs,"Vancouver, Canada",2025-05-28T04:00:00Z,https://findwork.dev/XlLROKX/growth-lead-cryptokitties-at-dapper-labs,,Dapper Labs is looking to hire a Growth Lead (CryptoKitties) to join their team. This is a full-time position that is remote or can be based in Vancouver.
Sr. Growth Marketing Manager,Blockstream,"New York, United States",2025-05-28T04:00:00Z,https://findwork.dev/nvDVj6M/sr-growth-marketing-manager-at-blockstream,,Blockstream is looking to hire a Sr. Growth Marketing Manager to join their team. This is a full-time position that is based in New York NY.
Web3 Communication & Content Manager,Horizen Labs,,2025-05-28T04:00:00Z,https://findwork.dev/MAdGwBQ/web3-communication-content-manager-at-horizen-labs,,Horizen Labs is looking to hire a Web3 Communication & Content Manager to join their team. This is a full-time position that can be done remotely anywhere in the United States.
Full Stack / Blockchain Developer,Mangrove,"Paris, France",2025-05-28T04:00:00Z,https://findwork.dev/Q4q4pzM/full-stack-blockchain-developer-at-mangrove,,<h2>About Mangrove</h2><p><a><strong>Mangrove</strong></a> is a next-generation order book DEX where liquidity providers can post <em>programmable</em> offers. By linking arbitrary smart contracts to 
Production / Freelance Graphic Designer For Fall 2025 (Remote work) ,Loren Myers & Associates ,,2025-05-27T21:05:00Z,https://findwork.dev/n7lrx9Q/production-freelance-graphic-designer-for-fall-2025-remote-work-at-loren-myers-associates,,"<h3>Job description</h3>This is a part-time, temporary position from August 2025 through November 2025. You will be assisting the design team with production-related edits using Adobe Creative Suite ("
Strategic Designer (Intermediate Level),BrandFirst Creative Agency,,2025-05-27T16:43:29Z,https://findwork.dev/nalLmZX/strategic-designer-intermediate-level-at-brandfirst-creative-agency,,"<p>With 40 years of industry experience, BrandFirst is a full-service creative agency that services companies & brands of all sizes. We are a close-knit group of big thinkers who share a common passio"
